negationHandled,sentiment
masyarakat berjudi negara berjudi,Negatif
kalau dilihat dari pengalaman yang sudahsudah bumn banyak yang bangkrut wika jiwasrayadana haji dulu sekarang giliran perbankan,Netral
dana danantara buat future bang,Netral
ahok presiden danantara,Positif
hahah mantap kasihan pertiwi makin kasihan wni,Positif
cerita yang bagus bagi negara sebelah bukan negara konoha,Positif
speech kamu di rosi wah keren banget bro btw bahlil tidak punya malu itu fakta,Positif
swf kebanyakan dilakukan oleh negara yang secara ekonomi finansialnya dlm kondisi surplus arab saudinorwegiacina singapore qatar dllsementara indonesia dan as yang baru akan meluncurkan swf dalam kondisi ekonomi yang defisit,Negatif
bang kita tetap dengan kacamata optimis yah semoga bagus hasilnya tetapi bedanya apa pengelolaannya dibanding dengan dana investasi bpjs dana pensiun asabri jiwasraya dulu return dari dana dana itu apakah bagus sampai sekarang,Positif
iya polemik terkait danatara memang jadi sorotan besar belakangan ini banyak pihak mempertanyakan transparansi dan efektivitas pengelolaannya apalagi di tengah kondisi ekonomi yang sedang sulit beberapa analis khawatir soal dampaknya terhadap keuangan negara investasi jangka panjang dan bagaimana ini akan memengaruhi stabilitas ekonomi secara keseluruhan,Negatif
lagi sakit mau berobat tetapi duit nyangkut,Negatif
menurut saya ide dibentuknya danantara bagus karena beda dengan temasek danantara akan memanfaatkan kekuatan sda dalam negeri untuk diolah sendiri atau bahasa kerennya hilirisasi tidak mengandalkan asing ini menurut saya sih ide bagus,Positif
boleh minta nomor phone cellnya pertiwi tidak,Netral
paling ujung ujung nya korupsi,Negatif
bedanya sama santara apa yah,Negatif
bikin lahan bancakan dehtoh setelah uang dikuras habis dicarikan kambing hitam yang diokorbankan toh penegak hukum boleh di gending,Negatif
awalnya semua dikemas dengan tujuan mulia tetapi percayalah mereka adalah kumpulan maling penjarah rumah sendiri,Negatif
uud perqmpasan aset dulu di ac baru optimis sama danaanatar,Positif
masalahnya ibu pertiwi dikelilingi orang yang punya agenda dan kepentingan sendiri orangorang di sekitar ibu pertiwi toxic,Negatif
yang paling penting moral hazard,Positif
pendekatan de menjauh,Negatif
sebenarnya programnya bagus cuman kualitas pejabat sama sdm kitanya yang diragukan intergritasnya kalau dari paling besar atau tidak,Negatif
sbg rakyat jelata sudah trust issue parah sama yang punya jabatan dengan fasilitas kemewahannya itu,Netral
ending korupsi,Negatif
bau skandal mdb malaysia,Negatif
bukankah pengelola negeri ini ratarata berwatak maling yakin danantara boleh sukses,Positif
bang saya mau beropini sedikit menurut saya danantara ini harusnya tidak boleh buat independen tidak si bang karena kan dia ini boleh dibilang dapat pemasukan dari bumn iya dan harusnya itu sudah pasti diawasin sama negara juga,Negatif
ujungujungnya dikorupsikarena ini indonesia,Negatif
bro dr analogi yang loe berikan ternyata pemantik utama keinginan pertiwi ini dr ibu soialita iya dia pengen gabung ke group ibu soialita rupanya biar terlihat keren biar terlihat punya pengaruh hm,Positif
mdb malaysia mirip nga sama danantara,Negatif
p,Netral
diversify join venture for global community itu yang saya tangkap secara garis besarkonteks nya jelas jadi akar masalah terlihat dari perspective saya ini bagus apalagi aset pribadi tiap perusahaan di indonesia spesifiknya itu lemah banget apalagi pasar global untuk dibeli kalau indonesia mau jadi negara majusetiap aset perusahaan harus diatas jt dan stabil jadi orang luar boleh membeli asetmenjual aset perusahaan indonesia karena naik turun nya stabil dan orang indonesia boleh beli aset perusahaan indonesia untuk dijual keluar negrikarna masing valuasi nya tinggi contoh seperti temasek singapore,Negatif
ini akan menjadi skandal terbesar era prabowo,Netral
kalau ini blunder habis sih konoha,Netral
program tipu,Negatif
dan endingny papi dana meracuni mami tiwi lalu pergi untuk party,Negatif
negara berasa ikut invenstasi bodong,Netral
tahukan kenapa bang ferry tidak upload di chanel belio,Positif
berdasarkan sepak terjang semenjak orba apalagi konsep ini yang katanya dari peninggalan bapaknya maka dipastikan tidak akan berhasil dan beresiko korupspi tetap terjadi,Netral
keluar dari konteks menurut kalian sebenarnya perlu tidak si jumlah psikolog di indonesia itu diperbanyak soalnya boleh kita lihat sepertinya baik yang atas dan yang bawah sebenarnya pada sakit banyak yang membandingkan katanya mental kita lebih kuat dari orang korea tetapi sepertinya bukan karena lebih kuat tetapi pelampiasan nya ke orang atau hal lain makanya manusia nya macem macem ada yang suka nglemparin rumah orang ada yang suka ngrusak tanaman orang ada yang di sosial media dulu jadi melampiaskan nya dengan cara yang negatif boleh jadi juga yang korupsi itu orang yang sakit juga ini tidak hanya pegawai kepemerintahan iya tetapi pekerja biasa juga boleh diswasta dulu banyak kejadian soalnya jadi sepertinya lebih baik pemerintah fokus pengobatan mental masyarakatnya dan pegawai pemerintahan boleh kita lihat masyarakat dan pemerintahan kita selain krisis ekonomi juga krisis tanggung jawab krisis kepedulian krisis rasa percaya diri boleh dilihat satu orang banyak akun dan tiap akun beda wajah banyak yang membuat penipuan ataupun ujaran kebencian tetapi bukan dengan akun dia sendiri krisis kejujuran krisis empati juga,Positif
wah bagus dong perlu dicoba itu,Positif
dan satpam komplek atas nama peraturan rt tidak boleh cawe mengangkap pak dana dan memeriksa keuangan bapak indonesia tidak gelap tetapi peteng njlinteng,Negatif
keren cara penyampaiannya sangat di mengerti menurut saya ide pemerintah ini bagus yang jadi masalahnya kinerja para pemegang kekuasaan nya sekarang banyak yang terbukti mengecewakan sehingga kalau tetap di jalankan kemungkinan besar akan menjadi beban lagi dan memberi peluang untuk si rakus tambah rakus lagi dan si miskin tambah lebih miskin lagi,Negatif
skeptis keren salah satunya ru perampasan aset tidak sgr disahkan negri yang menyuburkan koruptor ‍,Negatif
tidak percaya sedikitpun sama orang konohaberlakukan dulu hukuman gantungpancung bagi koruptor baru jalankan proyek ini,Negatif
satu kata skeptis,Negatif
oke gas oke gas harga kebutuhan makin ngegas,Netral
tahun lalu biarkan mereka memasak tahun ini biarkan mereka memasak saya pikir beberapa tahun depan kita sudah matang,Netral
brruh ini analogi yang paling gampang di cerna,Positif
dejavu mdb nya tetangga sebelah,Netral
belum juga berlipat ganda sudah keburu nguap tak tersisa saya baru boleh percaya untuk menyerahkan uang tabungan pribadi yang tidak seberapa ini jika koruptor di indonesia di hukum gantung sekian dan terima kasih terima kasih mas ferry atas pencerahannya anda adalah aset negara yang membawa masyarakat ke jalan yang terang dengan konten anda yang sangat mendidik gbu,Positif
mantap sekali penjelasannya seperti mas agen mlm wkwk,Positif
jadi ngantuk,Netral
sudah pasti dikorupsi berjamaah tidak boleh dipercaya,Negatif
kalau si dana pernah ngemplang pajak pemegang salah satu pemimpin terkorup dunia bak pertiwi bikin kolam baru untuk si dana berenang bebas dengan makanan bergizi tinggi gratis,Positif
tetep saja kalau koruptor hidup mau bikin lembaga az pasti riskan korupsi,Negatif
si ibu pertiwi pengen masuk geng sosialita tetapi tidak boleh liat kalau si ibuibu sosialita duitnya banyak boleh beli emas segepok soalnya anakanaknya pinter jujur sukses meanwhile si ibu masih ngosngosan ngurusin rumah ngebantuin bisnis anaknya yang bangkrut ngasih makan cucu bayar utang suami mana bunganya guede ngasih duit ke ponakanponakan alias maksa,Negatif
berarti memang tiwi bodoh bang dan yang namanya dana jahat,Negatif
danantara mengelola dana bumnbumn jadi lebih menguntungkan menguntungkan siapa menguntungkan ndasmu,Positif
revolusi prancis mending,Netral
esemka ikn danantara,Netral
korupsi saja makin bancakan dimakan bersama ramai kok malah bikin model mirip reksadana untuk negara aka danantara does not make sense,Negatif
jadi ingat proyek malaysia m kalau betul yang ujung²nya uangnya melayang dan ujung²nya yang dirugikan,Negatif
bener lagi,Netral
ujungnya selalu sama salah kelola mismanagement atau salah prosedur hasil akhirnya sama negara tambah bangkrut jangan berani membamdingkan indonesia dengan singapore apalagi china yang menghukum mati koruptor artinya kamu tidak tau diri,Negatif
siapa yang pegang itu duit boleh amanah,Positif
tidak nyangka,Netral
saya invest di a mndr saja malah boncos dngn iming keuntungn stlh thn akhirnya saya tarik smua uangny tidak prcya lagi dngn bank tsb,Negatif
terimakasih,Positif
oh jelas uangnya dibagi elit partai dan pejabat koruptor semakin solid rakyat semakin sulit,Negatif
saya masih skeptis sayangnya bang fer,Netral
sejujurnya kami tidak masalah dengan danantara ini cuman karena banyaknya case dimana pejabat yang telah diberi wewenang pada lembaga tidak dapat menyelesaikannya dengan baik dan cenderung merugikan negara untuk kepentingan pribadi itulah yang tidak boleh kami terima seandainya di negeri tercinta ini ada kepastian hukum dalam mengawasi para pejabat kita sehingga mereka boleh tetap amanah kami pastinya akan legowo dengan kebijakan ini,Netral
yang d awasi lembaga itu saja msh bisa losssssshaduh,Negatif
yang berhubungan dengan uang ati² bu pertiwi mau uang mu doang pasti abis itu ditinggalin kalau uda dpt,Netral
semoga tidak krisis moneter sesi soalnya track record si dana dan anak²nya pada suka nilep,Netral
mirip orang yang lagi ditawarin investasi bodong tidak sih,Negatif
yang menjalankan danandara superholding itu siapa dan bisnis apa yang mereka jalankan,Positif
satu lagi yang tidak di jelaskan tentang masa lalu dan rekam jejak si papa dana bray di mata masyarakat,Positif
gambling nih bang khawatirnya dana ntara ini justru dijadikan lahan korupsi baru dan tempat cuci uang… karena tidak boleh diperiksa bpk… ngerinya itu kamu karena para pelakunya… yang mengelola dan mengawasinya adalah orangorang yang bermasalah”,Negatif
hebat trims iya sangat mudah dimengerti,Positif
mau jadi seperti singapura seperti karena muter duit iya,Negatif
singapura punya temasek dan gic yang muter duit itu gic kalau temasek tidak sekedar muter duit tetapi harus kelola anak perusahaan misalnya temasek beli properti hotel di bali maka temasek harus menunjuk orang atau perusahaan yang jalankan hotel tsb,Negatif
misal yang ngurus belum prnah korup saja ada indikasilha ini yang suruh ngurus mantan napi korupsikocak memang,Negatif
beneran mudah dipahami terima kasih bang,Positif
jujur iya saya mah tidak percaya sama orang dipemerintahan jadi ini bahaya buat negara,Positif
ibu ibu sosialitanya juga punya suami seperti dana itu kok cuma bedanya adalah kalau dananya ibu ibu sosialitanya ini diawasi dengan baik dan amanah sedangkan suami dari pertiwi ini dibesarkan di dalam lingkungan yang penuh kecurangan dan tindakan koruptif malah parahnya pertiwi melarang siapapun untuk mengawasi si dana calon suaminya itu,Negatif
keren penjelasannyaemak di dapur saja mudeng,Positif
ide nya sih gp kalau ngeliat modelan mental pejabat indo pada umumnya rada ragu-ragu,Negatif
bang inget si dana juga butuh makan lho butuh pakaian butuh celana dalam butuh kumpul sama circkle nya butuh rokok butuh kopi darimana dia boleh menuhin kebutuhan dia kalau tidak dari duit bu pertiwi dan anak anaknya,Negatif
bahasa bayi,Netral
dikatakan ke diri sendiri apakah pas jika kita kesusahan malah invest,Negatif
wah dulu anak ane mau tak namai danantaraakhire tak namai dananjaya,Positif
sangat sangat beresiko tinggi kita semua sudah tau bagaimana korup iya para pejabat negara konoha,Netral
devnya cabut rugpul insider holdingnya ini wkwk,Netral
halah paling juga scam indo pejabat pada korup nguntungin pengusaha cina elit doang pribumi tetap jadi babu dinegara sendiri sehat indonesia ku,Netral
ide nya bagus tetapi rekam jejak gabisa dipungkiri korupsi dan tamak soal duit di lembaga negara mulai asabri taspen dulu,Negatif
maaf bang kecepatan ngomongnya,Positif
semoga papa dana boleh ngikutin papa temasek hehe,Positif
kalau sudah surplus anggaran seperti irlandia tidak masalah tetapi ini pakai uang dapur kita masih banyak kebutuhan dapur dan harus bayar hutang jatoh tempo basic needs dulu dipenuhi investasi dalam bentuk apapun harus pakai uang dingin karena semua investasi ada resiko dan boleh rugi dan belum lagi uang dapur yang dipake untuk investasi dititip sama orang yang belum tentu kredibel ada kemungkinan di korupsi terus auditor dan lembaga hukum tidak boleh ikut campur,Negatif
sumber makanan baru untuk tikus rakus,Netral
mental pemimpin kita peng peng bang penguasa pengusaha pasti untuk bancakan koruptor,Negatif
selama orang orang idiot yang kelola nih negarapasti mikirnya kekayaan pribadi bikin negara hebat cuma gimiklihat saja tuh suka tani kritik polkis saja suruh minta maafkita masih di institusi feodal dengan orang diktatorgw bilangnya institusi bukan negarakarena si idiot yang kelola jadi di kasih negara besar pun jadi seperti tingkat rt doank,Negatif
contoh yang paling nyata ada di tetangga kita namanya mdb berhad dari malaysia di kelola najib dan keluarga hasilnya jumlah korupsi yang di ambil keluarga adalah billion,Negatif
nah gampamgnya ni kita sebagai keluarga pertiwi harus menyaring siapa pak dana apakah orang baik atau orang kepentingan bagaimana karakter pak dana sebelumnya layak tidak dia menjadi roh dirinya pak dana,Positif
saya pesimis saya yakin pasti amburadul keren elit pemerintahan indonesia rata peng peng penguasa sekaligus pengusaha pasti mereka pada berebut kue sumber daya alam kita yang sangat seperti ini ujungnya rakyat iya tetap mlarat yang seperti semakin seperti,Negatif
saya setuju kalau danantara punya backbone bank seperti dbsnya temasek dan sebagai entitas mandiri tanpa ada pmn untuk modal investasi dan usaha,Netral
ilfeel,Netral
dongeng nya tidak seindah kenyataan pada akhirnya memakmurlah suami baru dan para ipar,Positif
ma sya allah keren bang sedih dan miris memang si pertiwi,Negatif
paling juga dikorupsi lagi wkwk,Negatif
senetralnetralnya kakak menjelaskan tetap bikin degdegan ini benarbenar selayaknya gambling dengan jaminan nasib seluruh indonesia,Positif
kenapa sepertinya pemerintah ingin menjadi eyang pinggiran kota dengan penggandaan uang,Negatif
kalau dana amanah pertiwi akan sejahtera tetapi kalau dana itu tamak nanti kulihat ibu pertiwi bersusah hati air matanya berlinang mas intan dan investasi yang cuma tinggal kenangan pertiwi please jangan bucin,Negatif
fitrah nya orang liat uang banyak pasti terlena slama hukum soal koruptor tidak berubah iya seperti yang sudah sudah palingan,Negatif
benar bang baru dengar ini saat saya mampir nnton konten ini,Positif
ternyata model pembahasan politik negara dibuat story telling lucu sih kontennya cocok buat pengantar tidur,Positif
dan akhir nya si dana minta jatah ngeue tiap hari sama pertiwi dan akhirnya setelah dana puas dan bosen si pertiwi kena ghosting aka duit danantara nya raib lossdikorupsi,Negatif
konsepnya bagus tetapi dr yang tjd slama ini ragu sama pejabatnya sudah berapa pejabat bumn yang berurusan hukum itu yang ketahuan yang tidak ketahuan,Negatif
melihat dari obrolanya pertiwi terlihat seperti janda muda yang polos dan dana terlihat sebagai penipu dengan senjata kata kata manis,Netral
kamu pasti selingkuh dana itu juga dilakukan suami pertiwi sebelumnya,Netral
bang serius saya nanya kamu sebenernya seniman kah dosen kah atau influence,Positif
fungsi kpk itu apa kalau akses kpk di batasi,Netral
berusaha mencari solusi belum apa sudah pesimis,Positif
doa yang baik untuk negeri kita indonesia semoga tuhan melindungi negeri ini dari kezholiman dan boleh semakin maju berkembang insyaallah aamiin,Positif
aamiin iya allah iya rabbalalamiin,Positif
ikut nimbrung komenkalau dengerin dongengnyaseperti asuransi no garansi,Negatif
papah dana apa ki mulyono dukun jangan dukun kan kalau tidak nipu iya cabul,Negatif
sebenrnya bagus namun melihat kondisi negara ini masih banyak tikus dan manipulatif banyak mudhorotnya,Positif
kenapa di indonesia kaloh butuh dana hibah dari masyarakat omong saja aku mau investasi pembangunan untuk indonesia ribu,Positif
trz yang ngawasi papa dana ini siapa misalnya nih anaknya apa tidak boleh gt lihat atau tanya sudah dapat apa nihpaatau boleh lihat ada beneran tidak nih uangnya nyatanya tidak boleh khan,Negatif
suaranya kecil bang saya sampai ful in volume handphone biar jelas suaranya,Positif
danantara itu bagus aslinya tetapi jangan bank duluh bikin apk agar masyarakat memasukkan dana sendiri untuk di investasikan,Negatif
jadi isu besar karena masyarakat percaya kalau bakal dikelola orang tidak kompeten pasti ada agenda politik roi yang gelap dan jadi lahan korupsi pemerintahny sudah tidak puny urat malu instansi hukum sampah ngebuat pengawas dan direksi pasti jadi kebal hukum,Negatif
dan parahnya lagi si danatara kalau rugi yaudah wkwkwk gabisa di periksa kpk kalaupun diperiksa harus ada izin dari dpr pengawasnya runner up occrp,Negatif
korupsi adalah yang paling mengerikan dan membuat rakyat kecewa banyak yang lolos dari hukuman terlebih praktik kolusinepotisme sudah dipraktekan dihadapan rakyat kita boleh lihat yang jadi pejabat ada anaknya ada keponakannya ada adiknya ada mantunyakerabatnyateman dekatnya dulu padahal kita sudah sepakat saat menumbangkan rezim orde baru karto mertua wowo kkn diberantas tetapi kenyataanya korupsi dimana penegakan hukum lemah parahnya kolusi nepotisme berjalan dengan baik kita rakyat sudah sangat muak dengan kkn maju terus mahasiswa indonesia,Negatif
biar bikin program yang aneh dulu lah yang bikin negara ini miskin adalah para koruptor basmi habis koruptor berlakukan hukuman mati yang di percepat sita aset koruptor setelah itu di lakukan baru deh buat program seperti danantara ini judol narkoba itu memiskinkan rakyat itu ada karena para koruptor seandainya para aparat bersih dan bertanggung jawab maka tidak akan ada lagi itu judol dan narkoba,Negatif
pusat tilepan baru,Negatif
alhamdulillah nambah lagi cerita topik ke istri nanti,Positif
hidup para koruptor,Netral
ladang korup buat yang mengelolanya,Netral
hmmmb y seperti aset negara ad pasar induk besar modern dn lengkap fasilitas umumnya dri halte tempat pengolah sampah dn tertata dengan indah tempat potong ayam saja lengkap dn ad pengolahan biar tidak bau tetapi isinya kosong pasar induk puspa agro semoga d optimalkan dn beneran jadi pasar,Positif
ibu socialita oecd,Netral
semua hal yang menghimpun dana dari masyarakat adalah rencana licik dan jahat semua asuransi plat merah dan setengah nerah terjadi korup bahkan dana haji yang berorientasi akhirat punamblas kurang kah kejahatan pemerintah terhadap rakyatnya masihkah ada pancasila pancasila sudah hilang bangsa dan negaramutidak punya dasar negara lagitidak punya pondasitinggal nunggu ambruknya,Negatif
saya malah jadi ingat kata opa panda nababan saat prabowo mau minjem uang di bank agak sulit dan dibantu balas dendam kali dia,Negatif
yang ngajuin napi tahun,Positif
central ngumpul dana dari bumn ngak kebayang jika memang terlaksana sangat beresiko di korupsi dan di intervensi secara langsung semakin banyak kepentingan yang bermain,Negatif
ini bagus dilaksanakan kalau masalah korupsi boleh ditangani,Negatif
semoga saja berhasil yang di takut kan iya tau sendiri lah korupsi sudah mendarah daging,Negatif
bang ribu t itu bukannya asset iya dana kelolanya bukannya t iya dari hasil dividend bumn cmiiw bang,Netral
danantara ini bukannya ide yang pernah di jelaskan oleh mowik mardigu yang mau ngikutin temasek,Positif
danantara nanti investasi nya di bidang apa y bang terus yang kelolanya syp bang opung lbp hashim djojo atw cina cina yang magarin laut,Netral
penjelasan ramah lingkungan,Positif
start,Netral
semoga si dana akuntabel iya iya walaupun ragu-ragu juga si,Negatif
biar lah sok sok bikin badan usaha cukup dari rakyat untuk rakyat saja,Positif
k triliun titipkan aku sini nanti keluar bank neo lumayan kalau profit per tahun,Positif
apa ini disebut mlm dengan duit juta kalian boleh beli pajero boleh main ke eropa gitu,Netral
semoga tidak seperti mdb di malaysia,Netral
kalau dengar dan memahami penjelasan ini dan dari penjelasan tempat lain ko aku malah ingat kasus blbi kenapa iya semoga saja tidak,Positif
apakah ini boleh disebut orang gaji dibawah umr hampir gajinya dibuat trading saham dengan ilmunya yang kurang maksa main trading make duit panasnya yang kalau berhasil memang bikin seperti tetapi kalau saham yang dibeli salah dan anjlok boleh bikin makin miskin,Negatif
sudah jadi hukum investasi high return iya high risk harusnya semoga resikonya sudah diperhitungkan sama yang berwenang,Negatif
mendingan zaman sby kebijakan berpihak ke rakyat bukan omon saya pikir ini chanel independent mencerdaskan bangsa ternyata kepanjangan dr si botak letkol tidak jelas lagi halaaaaah pret lah cong kamu enak saja ngomong itu bukan uangnya presiden dan bukan mentrinya itu uang rakyat indonesia dari keringat dan darah rakyat indonesia henak saja diatur sama kelompok penguasa gila kamu ah,Positif
bumn keharusan hadirinya dana antara investasi valley project super holding ngirim nya site plan master budget rab gambaradui dui di pengiriman melalui peran tara di sebutan danantara dari seantero duniah luar negeri pengerjaan hk nk bumn,Negatif
kayaknya ending nya ah sudah lah,Netral
apa yang diharapkan dari pajabat pemimpin yang bilang akan mengurus rakyat tetapi nyatanya menguras rakyat ini fakta bukan omon²,Positif
indonesia uang nya sudah dari utang malah di korupsi lagi uang utang itu,Negatif
triliun itu sudah termasuk aset iya bang,Netral
jika gagal maka indonesia game over saya rela botak tahun kalau itu terjadi,Netral
jabrik saja bg,Netral
kalau para karuptor maling tidak diksih hukuman yang berat program apapun pasti akan buyar ditengah jalan titik,Negatif
jadi ini pertaruhan antara nestapa dan asa udahlah kondisi indonesia gelap seperti ini kenapa tidak main aman pak presiden dengan memanfaatkan dana yang ada dan dikelola sebaiknya merujuk kepada uud tentang pembangunan yang terarah berantas korupsi bukan malah nge gambling anyyiing,Negatif
sudah dilindungi sedemikian rupa danantara agar aman tak boleh disentuh dan bebas memainkannya,Positif
si pertiwi kok begok banget yak,Netral
dirumah tangga lain yang assetnya seperti keluarga pertiwi bagaimana bang apakah berhasil dikelola sama papa dana yang lain investasi yang dilakukan papa dana kemana bang,Positif
yaampun seperti mendengar negera sedang di bangkrutkan wkwkwkwkwkwk,Negatif
mau tanya bang apakah uang yang diserahkan ke danantara tidak boleh di audit oleh kpk dan bpk kalau memang tidak boleh kenapa begitu apakah tidak akan rentan dari tindakan yang tidak di inginkan jika tidak diawasi,Negatif
nicere segment teruskan bang,Netral
segmen keren nih big applause buat malaka team btw berarti dalam hal ini keputusan buat menetapkan penggeseran aset negara ke danantara apabila merugikan dapat dikatakan tindak pidana korupsi terlebih apabila keputusan tsb berasal dari direksi atau jabatan setara danantara tsb karena melanggar bjr yang menarik posisi presiden eksekutif yang mengambil keputusan utama dalam konteks ini apakah dapat dikenakan bjr yang lebih menarik lagi kamu bumn akan diubah dimana salah satu poinnya tidak dapat dikenakan korupsi apabila keputusan tersebut dilakukan dalam hal investasi sepertinya memang sudah linier kamu bumn akan direvisi dimana direksipengambil keputusan tidak dapat dikenakan korupsi apabila keputusan bumn tersebut pada akhirnya merugikan negara salah satu unsur korupsi untuk memuluskan danantara dan mengamankan posisi direksi nantinya,Negatif
kamu perampasan asset koruptor perlu segera disyahkan pemerintah spy danantara tidak di korupsi keren banyak kasus bumn sarang koruptor projek fiktip mark up dulu,Negatif
kuda mati,Netral
to good to be true honestly project dan wacananya bagus yaitu adanya manajer investasi khusus yang nanti bertugas untuk mengelola dana negara cuma masalahnya berani transparan tidak btw di indonesia sudah ada manjer investasi yang terdaftar di ojk kenapa tidak manajer investasi yang sudah ada saja di berdayakan alih malah bikin yang baru sebuah ironi dimana katanya mau penghematan btw kita liat saja nanti kinerja lembaga baru ini selama tahun apakah cuma omonomon doank,Negatif
asli keren,Positif
bahas bullion bank bang,Netral
kalau seandainya pernikahan itu tetap berlanjut semoga diisi oleh orang yang memang kompeten bukan orang titipan,Positif
bang bagaimana iya jika kita menjelaskan sesuatu ke orang lain dengan bahasa yang mudah runtut dan pake analogi gitu tetapi endingnya malah dibilang bertele tele berhenti to the point,Positif
gagalkan danantara keren boleh membuat indonesia bangkrut seketika,Netral
uniknya di sini adalah ferry irwandi kalau mengritik pemerintah menggunakan akun malaka karena akun pribadi ferry irwandi sudah join dengan deddy coubuzier yang notabennya adalah orang dalam pemerintah,Negatif
kalau pendapat saya selama hukuman buat koruptor masi tumpul seperti sekarangproject seperti gini beresiko tinggi si,Negatif
terima kasih bang,Positif
dibendung ke titik shg terkumpul luar biasa besar pertanyaanya pertiwi sudah berkali kali tidak bisa amanah dlm mengelola uang jadi minus banyak,Positif
menurut saya segala sesuatu yang kita putuskan akan selalu ada resiko dalam hal ini danantara tetap berpeluang mujur sekaligus mujur untuk itu si dana harus diawasi oleh badan independen yang bisa melakukan kontrol shingga memungkinkan publik secara luas memperoleh info valid tentang naik turunnya aset yang dikelola si dana iya karena aset yang dikelola dana ini kan bukan hanya milik si ibu pertiwi disitu masih ada hak anaknya yang sudah tentu maju atau mundurnya aset yang dikelola dana akan berpengaruh untuk anak ibu pertiwi kedepannya selain pengawasan kontrol tdi sebaiknya ada batasan aset mana saja yang bisa dikelola secara mandiri oleh ibu pertiwi iya sbg antisipasi kalau si dana ini main dengan sedikit membatasi kuasa si dana ibu pertiwi bisa mengambil alih aset yang dirasa berhenti sesuai janji si dana setidaknya ada langkah yang masih bisa dilakukan jikapun aset yang dikelola si dana ini hancur sekali lagi resiko peluang pasti ada untuk itu harus ada langkah mitigasi dari awal,Negatif
dananaantara,Netral
terimakasih pencerahanya,Positif
konsep programnya boleh saja bagus masalahnya sih siapa yang megang nanti,Negatif
sulit buat percaya sama penjabat kalau di amanahin yang beginian seperti yang sudah,Netral
lihat saja mentri yang di rekrut kebanyakan eror juga kan sedang menuju kehancuran,Negatif
bang boleh tolong dibahas tentang “busines judgment rule” dong apakah ini sebuah langkah maju atau mundur buat bumn kita,Netral
jokowi dan anaknya ada di danantara auto korupsi sih,Netral
artinya dana kita yang ada di anak pertiwi boleh huru-hara tariiiiik,Netral
terima kasih penjelasannya sangat membantu update tanpa harus baca banyak referensi dan banyak mencerna,Positif
mega korupsi selanjutnya,Negatif
benchmark setau saya pembanding itu pada hal yang lebih baik yang berada diatas kita bukan pada yang lebih buruk dengan level dibawah kita,Positif
wskt wege kras adhi dulu boncos,Netral
geng sosialita menurut saya brich deh seperti nya iya,Negatif
cakep bang,Positif
ngeringeri sedap sih ini seperti kita investasi pakai uang panas ditambah lagi indeks korupsi negeri kita lagi mengkhawatirkan solusinya berikan dulu kepastian hukuman bagi koruptor berantas dulu korupsi baru kita berani kearah situ,Negatif
th maling berlangsung sekarang sudah banyak yang tau harus dengan cara laen bagaimana tetap boleh menggarong maling dan garong perlu bermitra,Netral
wkwkw toh juga petinggi danantara tu orang gerindra juga adik prabowo saja kang korupsi kasus blbi wkwk kocak memang prabowo kader gerindra saja kang koruptor juga kwkw di ketawain saja,Negatif
pundahkan saja tabungan kamu ke bcaaman,Netral
kalau jokowi goblok skip,Negatif
pertiwi lupa akan penipu alias koruptor yang siap mencaplok,Negatif
satu lagi pak dana tidak perlu memberikan jaminan apakah nantinya berhasil atau tidak serta tidak boleh dituntut secara hukum seandainya ada pelanggaran fail ceroboh dan missmanagement,Negatif
wajib skeptis,Negatif
konten keren bg,Positif
keren analoginya simpel gampang buat dipahamin dan kalau dibanyakin visualnya atau bahkan dibuatin animasi menurut saya bakal makin klop sih sama judul segmennya haha,Positif
waduh prediksi saya si dana omon omon saja mokondo,Negatif
"kamu guruku kawan, jika kamu ingin menulis buku, aku akan membelinya",Netral
pembawaan kamu santai bg jadi kesannya charming,Negatif
contoh tuh presidennya elsalvador borong bitcoin tiap hari,Netral
setelah dianalogikan dalam bentuk keluarga kenapa malah vibes fraud nya makin kentel iya,Negatif
bang warung kopi sebenarnya bukan kafe iya tidak membahas danantarawarung kopi setahu saya yang tiap hari nongkrong ada burjo atau bubur ayamsama sekali tak sama danantarakami lebih peduli sama lansia yang kesulitan berobat n periksa bpjs atau lampu jalan di kampung yang putus,Netral
akhirnya saya ngerti juga sekarang terima kasih you bang beneran deh,Positif
saya agak pesimis kalau danantara boleh seperti tematex kenapa inisiatornya adalah “burhanuddin abdullah” terpidana kasus korupsi dana bi dengan hukuman th penjara pengawas danantara bukan dari lembaga penegak hukum kpkkejaksaan melainkan ormas keagamaan dan mantan presiden danantara punya super imun kpkkejaksaan tidak boleh serta merta memeriksa kalau seandainya ada kasus korupsi atau fraud indonesia gelap,Negatif
mengerikan ibaratnya anak anak pertiwi ini buat makan saja ngapan pengangguran banyak hutang juga banyak kenapa tidak ke manufaktur saja di majuin supaya lapangan kerja banyak terus anak buah anak anaknya boleh tercover atau pertiwi ini nambah anak saja deh yang banyak biar punya penghasilan lebih bukan malah investasi investasi itukan kalau keuangan sudah surplus lha ini keuangan masih ngutang besar anak anaknya banyak yang sakit phk kemana mana sakit bukannya berobat kenapa duitnya buat main saham iya apalagi pengawasnya itu orang pemain judol mampus bareng kalau tidak profit,Negatif
siap,Positif
ini investasi vs hutang negara bro ferry the terbaik ini mah mudah aman dan lancar infonya modal awalnya tan,Positif
